Reading #,Wind Spd
1,4.844732449
2,3.330753558
3,4.844732449
4,4.844732449
5,4.239140892
6,4.844732449
7,4.844732449
8,4.844732449
9,2.725162002
10,3.330753558
11,5.450324005
12,3.330753558
13,3.936345114
14,5.147528227
15,3.936345114
16,3.02795778
17,2.725162002
18,4.239140892
19,2.725162002
20,1.816774668
21,0.302795778
22,0.9083873341
23,3.330753558
24,5.147528227
25,4.239140892
26,2.422366224
27,3.936345114
28,5.753119783
29,3.633549336
30,4.844732449
31,4.844732449
32,3.633549336
33,1.211183112
34,2.119570446
35,3.936345114
36,3.02795778
37,3.936345114
38,4.844732449
39,4.844732449
40,4.541936671
41,5.147528227
42,5.147528227
43,3.936345114
44,5.450324005
45,6.055915561
46,4.844732449
47,4.541936671
48,6.358711339
49,8.781077563
50,7.267098673
51,9.386669119
52,11.20344379
53,13.02021846
54,13.02021846
55,13.62581001
56,12.4146269
57,11.80903534
58,12.71742268
59,10.29505645
60,10.90064801
61,7.569894451
62,8.478281785
63,8.478281785
64,9.689464897
65,6.055915561
66,6.055915561
67,7.569894451
68,7.872690229
69,9.689464897
70,10.29505645
71,6.661507117
72,7.872690229
73,9.689464897
74,8.781077563
75,9.386669119
76,2.119570446
77,5.450324005
78,6.358711339
79,5.147528227
80,7.872690229
81,7.267098673
82,7.569894451
83,5.147528227
84,6.964302895
85,9.083873341
86,6.964302895
87,7.569894451
88,7.872690229
89,8.478281785
90,9.386669119
91,8.175486007
92,6.055915561
93,5.450324005
94,9.386669119
95,5.753119783
96,4.844732449
97,8.175486007
98,8.175486007
99,9.083873341
100,9.386669119
101,5.753119783
102,5.753119783
103,5.753119783
104,5.147528227
105,5.753119783
106,5.753119783
107,5.450324005
108,8.175486007
109,9.083873341
110,7.569894451
111,7.872690229
112,7.569894451
113,9.386669119
114,9.992260675
115,9.689464897
116,7.872690229
117,8.478281785
118,8.175486007
119,6.964302895
120,5.147528227
121,6.055915561
122,5.147528227
123,7.267098673
124,9.083873341
125,7.872690229
126,8.478281785
127,7.872690229
128,7.569894451
129,6.055915561
130,7.569894451
131,7.569894451
132,6.661507117
133,6.358711339
134,5.753119783
135,4.239140892
136,5.753119783
137,11.20344379
138,8.478281785
139,10.90064801
140,10.59785223
141,10.29505645
142,6.964302895
143,9.386669119
144,7.872690229
145,9.992260675
146,8.478281785
147,10.90064801
148,9.992260675
149,6.964302895
150,5.753119783
151,4.844732449
152,6.661507117
153,9.689464897
154,8.478281785
155,8.175486007
156,5.147528227
157,5.147528227
158,5.147528227
159,4.239140892
160,4.844732449
161,2.422366224
162,2.119570446
163,1.51397889
